__path__,Accuracy Measurements.Testing accuracy,Accuracy Measurements.Training accuracy,Dropout,Encoding,Encoding Options.Hop,Encoding Options.Length,Encoding Options.Window Filter,File Path,Learning Schedule.Schedule Type,Learning Schedule.Value,Loss Measurements.Testing loss,Loss Measurements.Training loss,batch_size ,epochs,loss_function,metric,optimizer,training dataset circumstance
results/grid_search26/results0 time 2025-01-14 10:09:01.934829.pkl,"[0.16777777671813965, 0.36444443464279175, 0.5566666126251221, 0.6383333206176758, 0.699999988079071, 0.6911110877990723, 0.7677777409553528, 0.78166663646698, 0.7905555963516235, 0.7972222566604614]","[0.1884722113609314, 0.39319443702697754, 0.5919444561004639, 0.6951389312744141, 0.7720832824707031, 0.7693055272102356, 0.854722261428833, 0.8888888955116272, 0.9126389026641846, 0.9333332777023315]",0.025,STFT,128,256,hann,"/root/Project/jax_machinelearning/datasets/8mfsk/absolute_doppler_waveforms_CNO_[14.2],[16.67]_and0_samprate_2000_1736520994.6523163.pkl",Constant,0.0002,"[2.11558198928833, 1.7506624460220337, 1.3461240530014038, 1.1114329099655151, 0.9475127458572388, 0.9613175988197327, 0.7577015161514282, 0.7057561278343201, 0.6696162819862366, 0.6419414281845093]","[2.086358070373535, 1.6885044574737549, 1.2588046789169312, 0.9856113791465759, 0.7898416519165039, 0.7715030908584595, 0.547833263874054, 0.46642813086509705, 0.40236905217170715, 0.34510788321495056]",100,10,CrossEntropy,Accuracy,AdamW,"MFSK signal with 0 Hz doppler uncertainty and 16.67 Hz/s doppler rate uncertainty, 14.2 db/Hz. STFT"
results/grid_search26/results0 time 2025-01-14 10:10:41.262349.pkl,"[0.23666664958000183, 0.45444440841674805, 0.5972222089767456, 0.6961110830307007, 0.7361111640930176, 0.7627778053283691, 0.7744444012641907, 0.7883333563804626, 0.7799999713897705, 0.7938888669013977]","[0.24666664004325867, 0.4947221577167511, 0.6554166674613953, 0.7512499690055847, 0.7944443821907043, 0.8248610496520996, 0.8540277481079102, 0.8733332753181458, 0.870972216129303, 0.9093055725097656]",0.025,STFT,128,256,hann,"/root/Project/jax_machinelearning/datasets/8mfsk/absolute_doppler_waveforms_CNO_[14.2],[16.67]_and0_samprate_2000_1736520994.6523163.pkl",Constant,0.0002,"[2.119067668914795, 1.7256766557693481, 1.3142961263656616, 1.033435344696045, 0.8679308295249939, 0.7707098722457886, 0.7149589657783508, 0.6722370982170105, 0.6933205127716064, 0.6277377009391785]","[2.109741687774658, 1.6810832023620605, 1.2287640571594238, 0.9236297607421875, 0.740148663520813, 0.6224840879440308, 0.5404334664344788, 0.4746655225753784, 0.46742570400238037, 0.373049795627594]",100,10,CrossEntropy,Accuracy,AdamW,"MFSK signal with 0 Hz doppler uncertainty and 16.67 Hz/s doppler rate uncertainty, 14.2 db/Hz. STFT"
results/grid_search26/results0 time 2025-01-14 10:12:09.695474.pkl,"[0.30888888239860535, 0.5488888621330261, 0.6650000214576721, 0.7355555295944214, 0.7572222352027893, 0.7755554914474487, 0.7849999666213989, 0.777222216129303, 0.7833333015441895, 0.7933332920074463]","[0.3456944227218628, 0.5729166865348816, 0.6969444155693054, 0.7724999785423279, 0.804444432258606, 0.8475000262260437, 0.8584721684455872, 0.866527795791626, 0.8866666555404663, 0.9041666388511658]",0.025,STFT,128,256,hann,"/root/Project/jax_machinelearning/datasets/8mfsk/absolute_doppler_waveforms_CNO_[14.2],[16.67]_and0_samprate_2000_1736520994.6523163.pkl",Constant,0.0002,"[2.0172338485717773, 1.5526273250579834, 1.1556097269058228, 0.9244906902313232, 0.8201577663421631, 0.7287852168083191, 0.6988937854766846, 0.6991138458251953, 0.6695737838745117, 0.6380179524421692]","[1.9875134229660034, 1.495072841644287, 1.0878206491470337, 0.8322992324829102, 0.7012064456939697, 0.5823987126350403, 0.5240071415901184, 0.4958159029483795, 0.4389750063419342, 0.3866916298866272]",100,10,CrossEntropy,Accuracy,AdamW,"MFSK signal with 0 Hz doppler uncertainty and 16.67 Hz/s doppler rate uncertainty, 14.2 db/Hz. STFT"
results/grid_search26/results0 time 2025-01-14 10:13:37.033400.pkl,"[0.32722222805023193, 0.5594444274902344, 0.6744444370269775, 0.7127777934074402, 0.7588889002799988, 0.7599999904632568, 0.78166663646698, 0.7661111354827881, 0.7755555510520935, 0.7944443821907043]","[0.3345833122730255, 0.5834721922874451, 0.706944465637207, 0.772777795791626, 0.8218055367469788, 0.8348610997200012, 0.8666666746139526, 0.8715277910232544, 0.898888885974884, 0.9137499332427979]",0.025,STFT,128,256,hann,"/root/Project/jax_machinelearning/datasets/8mfsk/absolute_doppler_waveforms_CNO_[14.2],[16.67]_and0_samprate_2000_1736520994.6523163.pkl",Constant,0.0002,"[2.0839450359344482, 1.651254653930664, 1.1936628818511963, 0.9531797766685486, 0.8050103187561035, 0.7498555779457092, 0.6889921426773071, 0.6994941234588623, 0.6570432186126709, 0.6330637335777283]","[2.0769612789154053, 1.617780089378357, 1.1310704946517944, 0.849768340587616, 0.672631561756134, 0.5911098122596741, 0.5057017207145691, 0.48131635785102844, 0.41348716616630554, 0.36237287521362305]",100,10,CrossEntropy,Accuracy,AdamW,"MFSK signal with 0 Hz doppler uncertainty and 16.67 Hz/s doppler rate uncertainty, 14.2 db/Hz. STFT"
results/grid_search26/results1 time 2025-01-14 10:09:42.241607.pkl,"[0.40388888120651245, 0.5899999737739563, 0.7200000286102295, 0.76500004529953, 0.7661111354827881, 0.7722222805023193, 0.7855555415153503, 0.7638888955116272, 0.7816666960716248, 0.7844443917274475]","[0.4179166555404663, 0.6101388931274414, 0.7486110925674438, 0.8251388669013977, 0.8379166722297668, 0.8768055438995361, 0.9123610258102417, 0.8831943869590759, 0.9461110234260559, 0.9520832896232605]",0.025,STFT,128,256,hann,"/root/Project/jax_machinelearning/datasets/8mfsk/absolute_doppler_waveforms_CNO_[14.2],[16.67]_and0_samprate_2000_1736520994.6523163.pkl",Constant,0.0004,"[1.916514277458191, 1.2628711462020874, 0.937642514705658, 0.763704240322113, 0.7463573217391968, 0.6993987560272217, 0.6606267094612122, 0.7280983924865723, 0.6558443903923035, 0.6406645774841309]","[1.904639720916748, 1.2118980884552002, 0.8325779438018799, 0.6076157093048096, 0.544590413570404, 0.4318453073501587, 0.3387505114078522, 0.39395883679389954, 0.24563609063625336, 0.20310238003730774]",100,10,CrossEntropy,Accuracy,AdamW,"MFSK signal with 0 Hz doppler uncertainty and 16.67 Hz/s doppler rate uncertainty, 14.2 db/Hz. STFT"
results/grid_search26/results1 time 2025-01-14 10:11:10.801915.pkl,"[0.3844444453716278, 0.592222273349762, 0.7099999189376831, 0.7433333396911621, 0.7522222995758057, 0.7461110949516296, 0.753333330154419, 0.75, 0.7661111354827881, 0.772777795791626]","[0.40666663646698, 0.6297222375869751, 0.7677777409553528, 0.8262499570846558, 0.8554165959358215, 0.8529166579246521, 0.8774999976158142, 0.9056944251060486, 0.9312499165534973, 0.961388885974884]",0.025,STFT,128,256,hann,"/root/Project/jax_machinelearning/datasets/8mfsk/absolute_doppler_waveforms_CNO_[14.2],[16.67]_and0_samprate_2000_1736520994.6523163.pkl",Constant,0.0004,"[1.869966745376587, 1.318547248840332, 0.9219810962677002, 0.7815946936607361, 0.7433385848999023, 0.7582929134368896, 0.739711344242096, 0.7168196439743042, 0.6973202228546143, 0.6594948172569275]","[1.8480031490325928, 1.2309151887893677, 0.7817535400390625, 0.5855318903923035, 0.4902200698852539, 0.4596201479434967, 0.3960215747356415, 0.3338470458984375, 0.258684903383255, 0.19685041904449463]",100,10,CrossEntropy,Accuracy,AdamW,"MFSK signal with 0 Hz doppler uncertainty and 16.67 Hz/s doppler rate uncertainty, 14.2 db/Hz. STFT"
results/grid_search26/results1 time 2025-01-14 10:12:38.833590.pkl,"[0.3038889169692993, 0.629444420337677, 0.7244445085525513, 0.7694444060325623, 0.7733333110809326, 0.7488888502120972, 0.7416666150093079, 0.7377777695655823, 0.757777750492096, 0.7805554866790771]","[0.32472220063209534, 0.6633333563804626, 0.7674999833106995, 0.8308333158493042, 0.864027738571167, 0.8469444513320923, 0.8841666579246521, 0.8979165554046631, 0.9343054890632629, 0.96958327293396]",0.025,STFT,128,256,hann,"/root/Project/jax_machinelearning/datasets/8mfsk/absolute_doppler_waveforms_CNO_[14.2],[16.67]_and0_samprate_2000_1736520994.6523163.pkl",Constant,0.0004,"[1.9914978742599487, 1.2286845445632935, 0.9098031520843506, 0.7428767085075378, 0.7150242328643799, 0.774377167224884, 0.7422749400138855, 0.7363587617874146, 0.7008527517318726, 0.6539523601531982]","[1.9580579996109009, 1.1652045249938965, 0.8026628494262695, 0.5860917568206787, 0.49523788690567017, 0.5093979239463806, 0.4109184443950653, 0.3699711263179779, 0.28258398175239563, 0.18421092629432678]",100,10,CrossEntropy,Accuracy,AdamW,"MFSK signal with 0 Hz doppler uncertainty and 16.67 Hz/s doppler rate uncertainty, 14.2 db/Hz. STFT"
results/grid_search26/results1 time 2025-01-14 10:14:06.332648.pkl,"[0.41055551171302795, 0.6505554914474487, 0.7038888931274414, 0.7611110806465149, 0.7372221946716309, 0.7588889002799988, 0.7638888359069824, 0.7699999809265137, 0.7833333611488342, 0.7705556154251099]","[0.4633333384990692, 0.7188888788223267, 0.7505555748939514, 0.8498611450195312, 0.8320833444595337, 0.8826388120651245, 0.9158332347869873, 0.9252777099609375, 0.9513888955116272, 0.9551388621330261]",0.025,STFT,128,256,hann,"/root/Project/jax_machinelearning/datasets/8mfsk/absolute_doppler_waveforms_CNO_[14.2],[16.67]_and0_samprate_2000_1736520994.6523163.pkl",Constant,0.0004,"[1.7782893180847168, 1.1070325374603271, 0.9331991672515869, 0.7392411828041077, 0.794004499912262, 0.7032504677772522, 0.6661409735679626, 0.6669914722442627, 0.6313610672950745, 0.6643655896186829]","[1.735791563987732, 0.9934601187705994, 0.7898264527320862, 0.5471890568733215, 0.5590437650680542, 0.42173275351524353, 0.3469177484512329, 0.3153030276298523, 0.23345153033733368, 0.2221197485923767]",100,10,CrossEntropy,Accuracy,AdamW,"MFSK signal with 0 Hz doppler uncertainty and 16.67 Hz/s doppler rate uncertainty, 14.2 db/Hz. STFT"
results/grid_search26/results2 time 2025-01-14 10:10:11.871913.pkl,"[0.20944444835186005, 0.3499999940395355, 0.4877777695655823, 0.5855556130409241, 0.6394444108009338, 0.6516666412353516, 0.6905555129051208, 0.7250000238418579, 0.7388889193534851, 0.7599999904632568]","[0.2336111068725586, 0.38555556535720825, 0.5270833373069763, 0.6175000071525574, 0.6738888621330261, 0.7027777433395386, 0.75083327293396, 0.7951388955116272, 0.81333327293396, 0.8399999737739563]",0.025,STFT,128,256,hann,"/root/Project/jax_machinelearning/datasets/8mfsk/absolute_doppler_waveforms_CNO_[14.2],[16.67]_and0_samprate_2000_1736520994.6523163.pkl",Constant,0.0001,"[2.1531546115875244, 2.016068458557129, 1.7226817607879639, 1.4574695825576782, 1.243493676185608, 1.1384081840515137, 1.0209304094314575, 0.9141543507575989, 0.8591135144233704, 0.797913134098053]","[2.136354446411133, 1.9869542121887207, 1.6821403503417969, 1.3999547958374023, 1.1645656824111938, 1.0364127159118652, 0.8992736339569092, 0.7720693349838257, 0.7024607062339783, 0.6270797252655029]",100,10,CrossEntropy,Accuracy,AdamW,"MFSK signal with 0 Hz doppler uncertainty and 16.67 Hz/s doppler rate uncertainty, 14.2 db/Hz. STFT"
results/grid_search26/results2 time 2025-01-14 10:11:40.384687.pkl,"[0.14499999582767487, 0.32055556774139404, 0.48000001907348633, 0.5727777481079102, 0.6594443917274475, 0.7038888335227966, 0.7400000095367432, 0.758888840675354, 0.7705554962158203, 0.7838888764381409]","[0.17694443464279175, 0.3579166531562805, 0.5049999952316284, 0.6150000095367432, 0.7024999856948853, 0.741527795791626, 0.7854166626930237, 0.8086111545562744, 0.8318055272102356, 0.8569444417953491]",0.025,STFT,128,256,hann,"/root/Project/jax_machinelearning/datasets/8mfsk/absolute_doppler_waveforms_CNO_[14.2],[16.67]_and0_samprate_2000_1736520994.6523163.pkl",Constant,0.0001,"[2.1729469299316406, 2.0238656997680664, 1.715293526649475, 1.429923415184021, 1.2009727954864502, 1.053098201751709, 0.9204972386360168, 0.8335089087486267, 0.7630689740180969, 0.7073705792427063]","[2.1584811210632324, 1.9975190162658691, 1.6712223291397095, 1.3627848625183105, 1.1099166870117188, 0.9533640742301941, 0.8121278285980225, 0.7112164497375488, 0.6341121196746826, 0.5603147149085999]",100,10,CrossEntropy,Accuracy,AdamW,"MFSK signal with 0 Hz doppler uncertainty and 16.67 Hz/s doppler rate uncertainty, 14.2 db/Hz. STFT"
